P			T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.001874483932568292	11950.000	9360.000	100.000	38940.000	9112.000	39329.000	455625.000	389.000	0.230
0.0018763888653275317	12050.000	9440.000	100.000	37731.000	8842.000	38144.000	442149.000	413.000	0.230
0.0020252568090305166	12150.000	9520.000	100.000	34687.000	8108.000	35105.000	405460.000	418.000	0.230
0.002070588948526708	12250.000	9600.000	100.000	34404.000	8031.000	34811.000	401607.000	407.000	0.230
0.001822408168311877	12350.000	9680.000	100.000	38153.000	8876.000	38577.000	443854.000	424.000	0.230
0.0017524763112292986	12450.000	9760.000	100.000	38277.000	8904.000	38727.000	445226.000	450.000	0.230
0.001979202682702268	12550.000	9840.000	100.000	36237.000	8515.000	36641.000	425777.000	404.000	0.230
0.002027395506333616	12650.000	9920.000	100.000	35235.000	8278.000	35642.000	413924.000	407.000	0.230
0.0012655970995312058	12750.000	10000.000	100.000	48873.000	11457.000	49382.000	572881.000	509.000	0.230
0.001725158190977592	12850.000	10080.000	100.000	39286.000	9148.000	39729.000	457437.000	443.000	0.230
0.0016501643406943572	12950.000	10160.000	100.000	40600.000	9472.000	41052.000	473623.000	452.000	0.230
0.0011487274934559918	13050.000	10240.000	100.000	49973.000	11745.000	50531.000	587309.000	558.000	0.230
0.0017291614957753686	13150.000	10320.000	100.000	40088.000	9294.000	40513.000	464730.000	425.000	0.230
0.0019243135517162996	13250.000	10400.000	100.000	36190.000	8472.000	36615.000	423611.000	425.000	0.230
0.001680045228122705	13350.000	10480.000	100.000	41537.000	9683.000	41959.000	484181.000	422.000	0.230
0.0016250955524754877	13450.000	10560.000	100.000	41391.000	9602.000	41838.000	480138.000	447.000	0.230
0.0016105054126993583	13550.000	10640.000	100.000	42257.000	9760.000	42694.000	488044.000	437.000	0.230
0.002185496066105372	13650.000	10720.000	100.000	34543.000	8076.000	34905.000	403845.000	362.000	0.230
0.0014697354873642137	13750.000	10800.000	100.000	44749.000	10385.000	45212.000	519289.000	463.000	0.230
0.0016234176202018587	13850.000	10880.000	100.000	42683.000	9971.000	43111.000	498596.000	428.000	0.230
0.001241451657942575	13950.000	10960.000	100.000	49997.000	11649.000	50501.000	582509.000	504.000	0.230
0.0014823309869873831	14050.000	11040.000	100.000	45575.000	10688.000	46023.000	534439.000	448.000	0.230
0.001998782284634586	14150.000	11120.000	100.000	36469.000	8505.000	36858.000	425290.000	389.000	0.230
0.0019633831316893517	14250.000	11200.000	100.000	36082.000	8369.000	36491.000	418469.000	409.000	0.230
0.001873933821790148	14350.000	11280.000	100.000	38178.000	8920.000	38582.000	446026.000	404.000	0.230
0.0016042787537467044	14450.000	11360.000	100.000	44011.000	10282.000	44425.000	514155.000	414.000	0.230
0.0018500102424532556	14550.000	11440.000	100.000	38921.000	9119.000	39321.000	455995.000	400.000	0.230
0.0016415921487464907	14650.000	11520.000	100.000	41778.000	9691.000	42214.000	484590.000	433.000	0.230
0.0012257083295652907	14750.000	11600.000	100.000	50790.000	11860.000	51293.000	593052.000	503.000	0.230
0.0013365849704778854	14850.000	11680.000	100.000	48735.000	11263.000	49203.000	563184.000	468.000	0.230
0.0014413713599578989	14950.000	11760.000	100.000	45750.000	10559.000	46209.000	528004.000	459.000	0.230
0.0013454750247590432	15050.000	11840.000	100.000	48052.000	11265.000	48531.000	563275.000	479.000	0.230
0.0017632048711349719	15150.000	11920.000	100.000	39687.000	9253.000	40107.000	462681.000	420.000	0.230
0.001369286893552452	15250.000	12000.000	100.000	47774.000	11177.000	48244.000	558893.000	470.000	0.230
0.0012423163680850557	15350.000	12080.000	100.000	50057.000	11644.000	50559.000	582221.000	502.000	0.230
0.0015454697425433218	15450.000	12160.000	100.000	43028.000	10082.000	43487.000	504113.000	459.000	0.230
0.0011219093168718672	15550.000	12240.000	100.000	53605.000	12475.000	54129.000	623813.000	524.000	0.230
0.0015019504602394379	15650.000	12320.000	100.000	45855.000	10727.000	46288.000	536400.000	433.000	0.230
0.0011554715160588755	15750.000	12400.000	100.000	51024.000	11960.000	51564.000	598022.000	540.000	0.230
0.0011824510510715083	15850.000	12480.000	100.000	53610.000	12582.000	54107.000	629120.000	493.000	0.230
0.0012094868005098393	15950.000	12560.000	100.000	51135.000	11932.000	51642.000	596623.000	507.000	0.230
0.0011532002870274065	16050.000	12640.000	100.000	52634.000	12221.000	53151.000	611082.000	517.000	0.230
0.0013954376859604202	16150.000	12720.000	100.000	46796.000	10807.000	47262.000	540392.000	466.000	0.230
0.0008728486046266201	16250.000	12800.000	100.000	61377.000	14394.000	61975.000	719736.000	598.000	0.230
0.0014101018160530075	16350.000	12880.000	100.000	45846.000	10746.000	46325.000	537343.000	479.000	0.230
