P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.010	8250.000	12800.000	1000.000	103772.000	9419.000	106326.000	941933.000	2554.000
0.009	8350.000	12960.000	1000.000	109746.000	9960.000	112447.000	996052.000	2701.000
0.009	8450.000	13120.000	1000.000	109201.000	9905.000	111786.000	990527.000	2585.000
0.009	8550.000	13280.000	1000.000	115827.000	10525.000	118525.000	1052569.000	2698.000
0.009	8650.000	13440.000	1000.000	113428.000	10221.000	115976.000	1022168.000	2548.000
0.009	8750.000	13600.000	1000.000	114675.000	10381.000	117391.000	1038173.000	2716.000
0.008	8850.000	13760.000	1000.000	122143.000	11050.000	124962.000	1105089.000	2819.000
0.008	8950.000	13920.000	1000.000	122830.000	11166.000	125551.000	1116726.000	2721.000
0.008	9050.000	14080.000	1000.000	132269.000	11931.000	135141.000	1193211.000	2872.000
0.008	9150.000	14240.000	1000.000	127106.000	11453.000	129850.000	1145341.000	2744.000
0.008	9250.000	14400.000	1000.000	126164.000	11404.000	129198.000	1140505.000	2723.000
0.007	9350.000	14560.000	1000.000	141407.000	12907.000	145516.000	1290755.000	2951.000
0.007	9450.000	14720.000	1000.000	139395.000	12689.000	143566.000	1268990.000	2888.000
