P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.038	4450.000	6720.000	1000.000	26030.000	2362.000	27807.000	236221.000	1777.000
0.039	4550.000	6880.000	1000.000	25808.000	2324.000	27574.000	232426.000	1766.000
0.037	4650.000	7040.000	1000.000	27192.000	2490.000	28953.000	249044.000	1761.000
0.037	4750.000	7200.000	1000.000	27361.000	2482.000	29130.000	248244.000	1769.000
0.035	4850.000	7360.000	1000.000	28628.000	2586.000	30396.000	258653.000	1768.000
0.033	4950.000	7520.000	1000.000	30121.000	2744.000	31957.000	274491.000	1836.000
0.031	5050.000	7680.000	1000.000	32180.000	2911.000	34007.000	291129.000	1827.000
0.029	5150.000	7840.000	1000.000	34848.000	3134.000	36759.000	313484.000	1911.000
0.026	5250.000	8000.000	1000.000	37885.000	3459.000	39822.000	345921.000	1937.000
0.027	5350.000	8160.000	1000.000	36719.000	3307.000	38605.000	330803.000	1886.000
0.024	5450.000	8320.000	1000.000	40895.000	3711.000	42867.000	371125.000	1972.000
0.025	5550.000	8480.000	1000.000	40734.000	3681.000	42643.000	368129.000	1909.000
0.024	5650.000	8640.000	1000.000	40913.000	3734.000	42826.000	373499.000	1913.000
0.023	5750.000	8800.000	1000.000	43841.000	3960.000	45846.000	396099.000	2005.000
0.021	5850.000	8960.000	1000.000	46614.000	4222.000	48609.000	422296.000	1995.000
0.021	5950.000	9120.000	1000.000	48311.000	4381.000	50298.000	438197.000	1987.000
0.020	6050.000	9280.000	1000.000	50243.000	4549.000	52291.000	455010.000	2048.000
0.020	6150.000	9440.000	1000.000	50708.000	4634.000	52722.000	463481.000	2015.000
0.019	6250.000	9600.000	1000.000	52297.000	4743.000	54398.000	474355.000	2101.000
0.019	6350.000	9760.000	1000.000	53216.000	4844.000	55209.000	484473.000	1993.000
0.017	6450.000	9920.000	1000.000	59603.000	5406.000	61793.000	540708.000	2190.000
0.017	6550.000	10080.000	1000.000	58284.000	5305.000	60364.000	530599.000	2080.000
0.017	6650.000	10240.000	1000.000	59523.000	5421.000	61609.000	542122.000	2086.000
0.016	6750.000	10400.000	1000.000	62179.000	5611.000	64255.000	561176.000	2076.000
0.016	6850.000	10560.000	1000.000	62523.000	5643.000	64640.000	564333.000	2117.000
0.015	6950.000	10720.000	1000.000	65730.000	5950.000	67955.000	595095.000	2225.000
0.014	7050.000	10880.000	1000.000	71834.000	6502.000	74114.000	650315.000	2280.000
0.013	7150.000	11040.000	1000.000	76151.000	6940.000	78485.000	694093.000	2334.000
0.014	7250.000	11200.000	1000.000	73299.000	6685.000	75547.000	668540.000	2248.000
0.013	7350.000	11360.000	1000.000	75068.000	6807.000	77368.000	680719.000	2300.000
0.013	7450.000	11520.000	1000.000	79116.000	7173.000	81414.000	717353.000	2298.000
0.013	7550.000	11680.000	1000.000	78648.000	7107.000	80994.000	710801.000	2346.000
0.013	7650.000	11840.000	1000.000	78586.000	7112.000	80865.000	711279.000	2279.000
0.011	7750.000	12000.000	1000.000	87386.000	7927.000	89760.000	792726.000	2374.000
0.011	7850.000	12160.000	1000.000	92838.000	8389.000	95308.000	838961.000	2470.000
0.011	7950.000	12320.000	1000.000	90869.000	8204.000	93309.000	820455.000	2440.000
0.010	8050.000	12480.000	1000.000	99460.000	8980.000	102013.000	898094.000	2553.000
0.011	8150.000	12640.000	1000.000	95116.000	8610.000	97573.000	861071.000	2457.000
0.010	8250.000	12800.000	1000.000	102562.000	9300.000	105183.000	930079.000	2621.000
0.010	8350.000	12960.000	1000.000	96458.000	8699.000	98917.000	869960.000	2459.000
0.010	8450.000	13120.000	1000.000	104390.000	9411.000	106915.000	941132.000	2525.000
0.010	8550.000	13280.000	1000.000	101967.000	9188.000	104501.000	918895.000	2534.000
0.010	8650.000	13440.000	1000.000	101983.000	9181.000	104491.000	918163.000	2508.000
0.009	8750.000	13600.000	1000.000	107516.000	9642.000	110071.000	964283.000	2555.000
0.008	8850.000	13760.000	1000.000	118051.000	10605.000	120823.000	1060531.000	2772.000
0.008	8950.000	13920.000	1000.000	118850.000	10736.000	121555.000	1073722.000	2705.000
0.008	9050.000	14080.000	1000.000	120413.000	10858.000	123099.000	1085874.000	2686.000
0.008	9150.000	14240.000	1000.000	130543.000	11756.000	133402.000	1175712.000	2859.000
0.008	9250.000	14400.000	1000.000	128524.000	11604.000	131667.000	1160495.000	2812.000
0.008	9350.000	14560.000	1000.000	128181.000	11598.000	132152.000	1159871.000	2820.000
0.008	9450.000	14720.000	1000.000	127523.000	11534.000	131474.000	1153473.000	2759.000
