Error,Time,Mean P,P1,P2,P3,P4,P5
0.0009657473414129375,4850.0,0.016909167434099093,0.016674350245377376,0.014228722463011524,0.018803010105195757,0.01933104766338706,0.01550870669352375
0.0009875512410472628,4950.0,0.015461347452695413,0.017237254833049765,0.012866848899607337,0.013360563108337475,0.017608497116334932,0.016233573306147553
0.0008292738851031439,5050.0,0.014256206944034486,0.015531449760277377,0.010975072751578952,0.015005133200168259,0.014810708062727706,0.014958670945420137
0.000302176954188846,5150.0,0.013110828522813001,0.012027549634146128,0.013124508815688883,0.013485655751709687,0.013826106074994701,0.013090322337525606
0.0010393559008688973,5250.0,0.013208461066249951,0.012486959613882933,0.01616730586090623,0.009835836864206046,0.014170348617431126,0.013381854374823426
0.0007898095193793123,5350.0,0.013245495636194756,0.013583793207799271,0.01562685472909988,0.013255496055652719,0.013098257184370944,0.010663077004050973
0.0004950836656691182,5450.0,0.01311169026424629,0.012565435169858877,0.01335657236942675,0.01154056630612937,0.013646539967339586,0.014449337508476863
0.0007856507588901222,5550.0,0.011562374903405264,0.010409017333178502,0.012891295920162651,0.009098362221296497,0.012178007478210481,0.013235191564178192
0.0006970782523675695,5650.0,0.012150029875291918,0.012423551869359716,0.012699887248047676,0.014292462444822452,0.011087342214050899,0.010246905600178836
0.000653508532572281,5750.0,0.010817433677123562,0.011234637868721298,0.0126339392115669,0.01154559144277768,0.009611430011371564,0.009061569851180368
0.0007138910213167869,5850.0,0.010804687626048269,0.010666479280213814,0.012334020302802931,0.0084153308286307,0.010401698574605532,0.01220590914398837
0.000998887219163722,5950.0,0.010320211119136788,0.011246818931855954,0.008954189685585326,0.0070887088640185425,0.011996800514487498,0.012314537599736624
0.00033361633804278274,6050.0,0.008572551880438607,0.00842355671032812,0.0076013286547010886,0.009629116944109301,0.008870993904426227,0.008337763188628297
0.0008149085926637046,6150.0,0.009742077215614733,0.00997989872698118,0.007362767961101695,0.011376211622479973,0.008452259516346821,0.011539248251163994
0.0007029815597778306,6250.0,0.008693677952406397,0.007334448735438418,0.010194212462923145,0.00702318833392168,0.008503069698479412,0.010413470531269325
0.0008534146230514381,6350.0,0.008738747063168736,0.008368349483673989,0.006766258067739295,0.010478808391093004,0.01095443639193193,0.007125882981405462
0.0010143553580786592,6450.0,0.007957791063374294,0.011149266302457154,0.005921675998957918,0.006447615738464346,0.006738151630581228,0.009532245646410826
0.0009766210529515444,6550.0,0.009018485348960117,0.009160104444861197,0.008067493054258615,0.00688387190265086,0.008338592515139362,0.01264236482789055
0.0002675720468637964,6650.0,0.007280558217573965,0.007999104794067641,0.007861707653794053,0.006783246858743303,0.006945027909457518,0.006813703871807314
0.0006397577435060521,6750.0,0.007950623652092733,0.008631711257932025,0.008955652977484291,0.005462540393583326,0.008667598777239802,0.008035614854224223
0.0006172593130823148,6850.0,0.006508631856784098,0.005919014892179352,0.004364682334053863,0.007206298435925613,0.0077682743811328,0.007284889240628857
0.0007576385302390022,6950.0,0.007569255560185265,0.006360985321150063,0.00895655487155916,0.007200436130202017,0.005671442965861032,0.009656858512154053
0.0006438234554731019,7050.0,0.006579849241117505,0.005739127060652121,0.007122849272625606,0.007472796825698646,0.00805903251173336,0.004505440534877791
0.00042650133274279195,7150.0,0.00651469968997446,0.006916749576481791,0.006020076584286928,0.007426425322755267,0.007121249125229211,0.0050889978411190985
0.0005188841374943949,7250.0,0.006380890642779048,0.008279330638388763,0.005469913970681718,0.006088620535396652,0.006591771173585469,0.005474816895842638
0.0005914044929280521,7350.0,0.006193399047922361,0.0057446254010048575,0.00827407328518984,0.004632701472724131,0.006272406792591898,0.006043188288101083
0.00013830362671840574,7450.0,0.006051203842861665,0.005794511231569066,0.006039671618405833,0.006255484048284025,0.00645247205170279,0.00571388026434661
0.000512744440502736,7550.0,0.0047138623518428015,0.0050723338724582,0.0027574776575529014,0.004711445202467142,0.005618094578612267,0.005409960448123493
0.00038262865452981813,7650.0,0.004910522656921925,0.004913769614626855,0.003585714389982061,0.004834860413397215,0.005300002863277676,0.0059182660033258215
0.0006563697715841417,7750.0,0.005160272589524529,0.0037830264019175514,0.004226515809843049,0.004836204085894564,0.007543382239041379,0.005412234410926095
0.00024366118548325717,7850.0,0.005608275255004911,0.00548873444444239,0.005913100490221074,0.005366656952831071,0.006350669356502463,0.004922215031027551
